CONFIDENTIAL - PAYROLL DATA - MARCH 2026 - DO NOT DISTRIBUTE
,,,,,,,,,,,,,,,,
Row #,ID #,FULL NAME,DEPT CODE,JOB,RATE,# HRS REG,# HRS OT,EARNINGS REG,EARNINGS OT,BONUS $,TOTAL GROSS,FED TAX,SOC SEC,MEDICARE,CA TAX,CA SDI,RETIREMENT (PRE),HEALTH (PRE),TAKE HOME,NOTES
1,E1001,Alexandra Booth,D01,MGR,8750.00,,,,8750.00,,8750.00,1750.00,542.50,126.88,437.50,87.50,525.00,175.00,5105.62,
2,E1002,Brian Tran,D01,SR ENG,6250.00,80,12,6250.00,1125.00,,7375.00,1475.00,457.25,106.94,368.75,73.75,442.50,150.00,4300.81,New hire 1/15
3,E1003,Chidi Aneke,D02,ENG,4583.33,80,,4583.33,,500.00,5083.33,916.00,315.17,73.71,254.17,50.83,305.00,150.00,3018.45,Bonus Q1
4,E1004,Dana Flores,D02,ENG,4166.67,80,5,4166.67,312.50,,4479.17,806.25,277.71,64.95,223.96,44.79,268.75,150.00,2642.76,
5,E1005,Eric Svensson,D03,ANALYST,3333.33,80,,3333.33,,,,3333.33,533.33,206.67,48.33,166.67,33.33,200.00,125.00,2020.00,PTO 8 hrs used
6,E1006,Fatima Al-Rashid,D03,SR ANALYST,4791.67,80,6,4791.67,431.25,,5222.92,940.13,323.82,75.73,261.15,52.23,313.38,150.00,3106.48,
7,E1007,George Mensah,D04,MGMT,9166.67,,,,9166.67,2000.00,11166.67,2568.33,692.33,161.92,558.33,111.67,670.00,200.00,6203.09,Quarterly bonus
8,E1008,Hana Watanabe,D01,ENG,5416.67,80,,5416.67,,,5416.67,975.00,335.83,78.54,270.83,54.17,325.00,150.00,3227.30,
9,E1009,Ivan Petrov,D04,DIR,7500.00,,,,7500.00,,7500.00,1500.00,465.00,108.75,375.00,75.00,450.00,175.00,4351.25,
10,E1010,Jasmine Brooks,D02,ENG,3750.00,80,8,3750.00,450.00,,4200.00,756.00,260.40,60.90,210.00,42.00,252.00,150.00,2468.70,Overtime approved
,,,,,,,,,,,,,,,,
GRAND TOTAL,,,,,,,,42041.67,2318.75,2500.00,46860.59,11220.04,2876.68,906.75,2926.36,624.27,4751.63,1575.00,36444.46,
