PAYCHEX PAYROLL SUMMARY REPORT
Company: Acme Corp | EIN: 47-1234567 | Pay Period: 03/16/2026 - 03/31/2026 | Pay Date: 03/31/2026
,,,,,,,,,,,,,,,,,,,,
Emp #,Employee Name,Dept,Hrs Worked,OT Hrs,Total Earnings,Reg Pay,OT Pay,Bonus/Other,Gross Wages,Fed Inc Tax,OASDI EE,HI EE,OASDI ER,HI ER,State Inc Tax,SUI ER,Ret Plan EE,Ret Plan ER,Med Plan EE,Med Plan ER,Net Wages,Check No
P0101,Abigail Foster,ACCTG,80.00,,5000.00,5000.00,0.00,0.00,5000.00,900.00,310.00,72.50,310.00,72.50,250.00,95.00,300.00,150.00,150.00,300.00,2672.50,PX-88801
P0102,Benjamin Chou,ACCTG,80.00,4.00,5300.00,4800.00,540.00,0.00,5340.00,961.20,331.08,77.43,331.08,77.43,267.00,101.46,320.40,160.20,150.00,300.00,2871.43,PX-88802
P0103,Cynthia Morrow,SALES,80.00,,4200.00,4200.00,0.00,2000.00,6200.00,1240.00,384.40,89.90,384.40,89.90,310.00,117.80,372.00,186.00,150.00,300.00,3196.70,PX-88803
P0104,Darnell Pitts,SALES,80.00,,3800.00,3800.00,0.00,3500.00,7300.00,1533.00,452.60,105.85,452.60,105.85,365.00,138.70,438.00,219.00,150.00,300.00,3717.55,PX-88804
P0105,Elaine Nakashima,IT,80.00,8.00,7200.00,6400.00,960.00,0.00,7360.00,1620.80,456.32,106.72,456.32,106.72,368.00,139.84,441.60,220.80,150.00,300.00,3876.72,PX-88805
P0106,Franklin Osei,IT,80.00,,5600.00,5600.00,0.00,0.00,5600.00,1008.00,347.20,81.20,347.20,81.20,280.00,106.40,336.00,168.00,150.00,300.00,3041.60,PX-88806
P0107,Gloria Hernandez,HR,80.00,,4600.00,4600.00,0.00,0.00,4600.00,736.00,285.20,66.70,285.20,66.70,230.00,87.40,276.00,138.00,150.00,300.00,2768.70,PX-88807
P0108,Harold Kim,OPS,80.00,3.00,4100.00,4000.00,225.00,0.00,4225.00,675.00,261.95,61.26,261.95,61.26,211.25,80.28,253.50,126.75,150.00,300.00,2531.26,PX-88808
,,,,,,,,,,,,,,,,,,,,,
TOTALS,,, 640.00,15.00,39800.00,38800.00,1725.00,5500.00,45325.00,8674.00,2828.75,661.56,2828.75,661.56,2281.25,867.38,2737.50,1368.75,1200.00,2400.00,24475.46,
